"A. Ta, liorish cooney Yee, as bree e Spyrryd casherick.","A. Yes, by the help of God, and the assistance of his holy Spirit.",
Q. Agh jean cooilleeney ny conditionyn shoh cosney dhyts yn vea veayn?,Q. But will the performance of these conditions obtain for you eternal life?,
"A. Cha nee er coontey yn toilchinys aym pene, agh er graih as trooid toilchinys Yeesey Creest nyn Saualtys.","A. Not on account of our own deserts, but for the sake and through the merits of Jesus Christ our Saviour.",
SECT. III.,SECT. III.,
,Of the Creed or Belief.,
"Q. C’RAAD ta banglaneyn nyn gredjue creestee er ny gheddyn, ny currit dy chieley [sic: chielley]?",Q. Where are the articles of our Christian faith contained?,
A. Ayns shen ta shin genmys yn Chrea ny Credjue.,A. In that which we call the Creed or Belief.,
Q. Abbyr y Chrea?,Q. Say the belief.,
"A. Ta mee credjal ayns Jee yn Ayr Ooilley-niartal, &c.","A. I believe in God the Father Almighty, &c.",
Q. Quoi ren oo?,Q. Who made you?,
A. Jee.,A. God.,
Q. Vel ny smoo na un Jee ayn?,Q. Are there more Gods than one?,
A. Cha vel ayn agh un Jee.,A. There is but one God.,
Q. Cre wooad persoon ta ayns unnaneys y Jee?,Q. How many persons are there in the Unity of the Godhead?,
A. Three.,A. Three. ,
Q. Quoi ny three persoonyn shoh?,Q. Who are these three Persons?,
"A. Jee yn Ayr, Jee yn Mac, as Jee yn Spyrryd Noo.","A. God the Father, God the Son, and God the Holy Ghost.",
Q. Cre’n-oyr ta Jee ayns shoh enmyssit yn Ayr?,Q. Why is God here called the Father?,
A. Er-yn-oyr dy nee eh Ayr nyn Jiarn Yeesey Creest.,A. Because he is the Father of our Lord Jesus Christ.,
Q. Cre’n-oyr elley t’ayd dy enmys Jee yn Ayr?,Q. For what other reason do you call God the Father?,
"A. Er-yn-oyr dy ren eh shin as ooiley’n seihll, as kinjagh tannaghtyn dy choadey shin.","[7] A. Because He made us and all the world, and still continues to preserve us.",
Q. Cre’n aght ta Jee coadey shin?,Q. How does God preserve you?,
"A. Liorish cur dooin slaynt, beaghey, jough as coamrey.","A. By giving us health, meat, drink, and cloathing.",
Q. Nagh vel Jee ayns aght er-lheh ny Ayr da creesteenyn?,Q. Is not God in a more especial manner the Father of Christians?,
"A. Ta, myr t’eh er ghoaill ad son e chloan hene liorish bashtey. ",A. Yes; He having received them for his children by baptism.,
[12] Q. Cre t’ou meanal tra t’ou gra dy vel Jee Ooilley-niartal?,Q. What do you mean when you say that God is Almighty? ,
A. Dy vel pooar ec Jee dy yannoo dy chooilley nhee.,A. I mean that God has power to do all things.,
Q. Cre elley t’ou credjal mychione Jee myr Kiannoort y theill?,Q. What else do you believe concerning God as the governor of the world?,
A. Dy vel yn ard-chiarrailys echey goardrail dy chooilley nhee ayns Niau as er y Thalloo.,A. That his providence ordereth all things in Heaven and Earth.,
Q. Cre ta dy v’er ny hoiggal liorish ny goan shoh?,Q. In what sense are you to understand these words?,
"A. Dy vel Jee ayns dy chooilley voal kionfenish, as nagh vod nhee erbee taghyrt ’sy theihll, agh shen ta fys echey er, goardrail, ny surranse eh.","A. That God is every where present, and that nothing can happen in the world, but He knows, directs, or suffers it.",
SECT. IV.,SECT. IV.,
Q. QUOI chionnee oo?,Q. Who redeemed you?,
A. Yeesey Creest.,A. Jesus Christ.,
Q. Quoi Yeesey Creest?,Q. Who is Jesus Christ?,
A. Mac beayn Yee.,A. The eternal Son of God.,
"Q. Cre’n fa t’ou genmys Creest, nyn Jiarn?",Q. Why do you call Christ our Lord?,
"A. Er-yn oyr dy nee eh yn Jee smoo syrjey, corrym rish yn Ayr.","A. Because He is the most high God, equal with the Father.",
Q. Cre’n oyr elley t’ou genmys eh Creest nyn Jiarn?,Q. For what other reason do you call Christ our Lord?,
,A. Because he is the Head of us Christians.[13],
,Q. Why do you call Christ our Saviour?,
A. Er-yn-oyr dy ren eh shin y hauail veih nyn beccaghyn.,A. Because he saved us from our sins.,
Q. Cre t’ou toiggal liorish kionnagh oo?,Q. What do you mean by redeeming you?,
A. Livrey shin veih peccah as treihys dy bragh farraghtyn.,A. The delivering us from sin and eternal misery.,
Q. Cre ren Creest y yannoo dy chionnagh as dy hauail oo?,Q. What did Christ do to redeem and save you?,
A. V’eh jeant ny ghooinney.,A. He was made man.,
Q. Cre’n aght va Creest jeant ny ghooinney?,Q. How was Christ made man?,
"A. V’eh er ny ghientyn jeh’n Spyrryd Noo, as ruggit jeh’n Voidyn Voirrey.","A. He was conceived by the Holy Ghost, and born of the Virgin Mary.",
Q. Cre’n fa va Creest jeant ny ghooinney?,[9] Q. Why was Christ made man?,
A. Dy voddagh eh baase y gheddyn as surranse er nyn son.,A. That he might die and suffer for us.,
Q. Quoi fo ren Creest surranse?,Q. Under whom did Christ suffer?,
A. Fo Pontius Pilate.,A. Under Pontius Pilate.,
Q. Quoi va Pontius Pilate?,Q. Who was Pontius Pilate?,
A. Kiannoort er y boayl va Creest beaghey.,A. Governor of the place where Christ lived.,
Q. Cre’n baase ren Creest surranse?,Q. What death did Christ suffer?,
A. V’eh er ny chrossey.,A. He was crucified.,
Q. Cre’n aght v’eh er ny chrossey?,Q. How was he crucified?,
A. Liorish ’ve treinit gys crosh dy fuygh derrey v’eh marroo.,A. By being nailed to a cross of wood till he was dead.,
Q. Cre’n fa hurr Creest y baase shoh?,Q. Why did Christ die this death?,
A. Son nyn beccaghyn.,A. For our sins.,
Q. Caid va Creest marroo?,Q. How long was Christ dead?,
A. Three laa. ,A. Three days.,
[13] Q. C’raad hie Creest sheese?,Q. Whither did Christ descend?,
A. Gys Niurin.,A. Into Hell.,
Q. Cre t’ou ayns shoh toiggal liorish Niurin?,Q. What do you here mean by Hell?,
A. Yn boayl ny stayd cour anmeenyn t’er phartail.,A. The place or state of departed Souls.,
Q. Cre b’erree da Creest lurg da ve marroo three laa?,Q. What became of Christ after He had been dead three days?,
A. Hrog eh eh hene gys bioys reesht.,A. He raised himself to life again.,
Q. C’raad eisht ren Creest goll?,Q. Whither then did Christ go?,
A. Hie eh seose gys Niau.,A. He went up into Heaven.,
Q. C’raad ta Creest ny hoie ayns Niau?,Q. Where does Christ sit in Heaven?,
A. Ec laue-yesh Yee.,[10] A. At the right-hand of God.,
Q. Vel laueyn ny cassyn er Jee.,Q. Has God hands or feet?,
"A. Cha vel: ta Jee ny Spyrryd, fegooish corp ny ayrn erbee dy chorp.","A. No: God is a Spirit, without any bodily parts.",
Q. Cre t’ou toiggal eisht liorish laue-yesh Yee?,Q. What do you mean then by the right-hand of God? ,
A. Yn boayl syrjey dy ooashley as dy ghloyr ayns Niau.,A. A place of the highest honour and glory in Heaven.,
SECT. V.,SECT. V.,
Q. QUOI ta casherickey oo?,Q. Who sanctifies you?,
A. Jee ny [sic: yn] Spyrryd Noo.,A. God the Holy Ghost.,
Q. Cre t’ou toiggall liorish y Spyrryd Noo?,Q. What do you mean by the Holy Ghost?,
A. Spyrryd casherick Yee.,A. The Holy Spirit of God.,
Q. Vel y Spyrryd Noo Jee corrym rish yn Ayr as y Mac?,Q. Is the Holy Ghost God equal with the Father and the Son?,
A. Ta.,A. Yes.,
Q. Cre t’ou toiggal liorish casherickey oo?,Q. What do you mean by sanctifying you?,
A. Jannoo mee casherick.,A. The making me holy.,
Q. Cre’n aght ta’n Spyrryd Noo casherickey oo?,Q. How does the Holy Ghost make you holy? ,
A. Liorish niartagh mee gys aigney as dy yannoo reddyn mie.,A. By enabling me to will and do good things.,
Q. Cre t’ou toiggal liorish y fockle Slane?,[11] Q. What does the word Catholic signify? ,
A. Ooilley’n seihll.,A. Universal.,
"Q. Cre t’ou toiggal liorish yn Slane Agglish, as quoi oddys ve toiggoit [sic: toiggit] dy ve jeh’n Agglish shen?","Q. What do you mean by the Catholic Church, and whom may it be understood to comprehend?",
A. Adsyn ooilley va goaill rish yn credjue firrinagh ayns dy chooilley hraa as eash jeh’n seihll. Agh neayr’s preacheill y Sushtal te er ny enmys ynrycan orroosyn ta goaill rish y Chredjue Creestee.,"A. All the professors of the true Religion, in all times and ages of the world. But, since the preaching of the Gospel, it is applied only to the professors of the Christian Religion.",
Q. Cre t’ou credjal hoshiaght mychione yn Slane Agglish Creestee?,Q. What do you believe first of the Catholic Church?,
A. Dy row yn Agglish shoh dy ghoaill stiaght pobble jeh dy chooilley ashoon.,A. That this Church was to consist of people of all Nations.,
Q. Cre ta’n nah red t’ou credjal mychione yn Agglish shoh?,Q. What do you believe secondly concerning this Church?,
[14] A. Nagh vod mayd ve er ny hauail mannagh bee mayd jeh Agglish Chreest.,A. That we cannot be saved unless we are of Christ’s Church.,
Q. Cre ta’n trass red t’ou credjal mychione echey?,Q. What is the third thing you believe concerning it?,
A. Dy jean yn Agglish Creestee tannaghtyn eer gys jerrey’n theihll.,A. That the Christian Church shall continue even unto the end of the world.,
Q. Ayns cre’n sense ta’n Agglish rait dy ve casherick?,Q. In what sense is the Church said to be holy?,
"A. Liorish ny leighyn as ny oardaghyn ec, ta ooilley karit [sic: kiarit] dy yannoo ny oltyn ec casherick.","A. As to its rules and ordinances, which are all designed to make its members holy.",
Q. Cre t’ou toiggal liorish y fockle Nooghyn?,[12] Q. What do you mean by the word Saints?,
A. Persoonyn casherick.,A. Holy Persons.,
Q. Rish quoi t’ou credjal ta sheshaght ec Nooghyn?,Q. With whom do you believe the Saints have communion?,
"A. Rish Jee, as rish my cheilley.","A. With God, and with one another.",
Q. Cre’n aght ta sheshaght ec deiney mie rish Jee?,Q. How have good People communion with God?,
"A. Liorish padjer, e ghoo casherick as Sacramentyn.","A. By prayer, his holy word, and sacraments.",
Q. Cre’n aght ta sheshaght ec Nooghyn ry chielley?,Q. How have the Saints a fellowship with one another?,
"A. Liorish unnaneys cooidjagh ayns yn un chredjue as obbraghyn dy oashley crauee, as liorish commeeys ry-chielley ayns graih as jannoo mie.","A. By being united together in the same faith and acts of religious worship, and in the mutual exercise of love and good works.",
Q. Cre ta peccah?,Q. What is sin?,
A. Brishey annaghyn Yee.,A. The breaking God’s Commandments.,
Q. Cre t’ou toiggal liorish leih peccaghyn?,Q. What do you mean by forgiveness of sins?,
A. Jee seyrey shin veih yn kerragh ta cair da peccah.,A. God’s freeing us from the punishment of sin.,
Q. Cre’n aght t’ou treishteil dy be [sic: bee] dty pheccaghyn er ny leih dhyt?,Q. How do you hope to have your sins forgiven you?,
A. Son graih surranse Chreest.,A. For the sake of Christ’s sufferings.,
Q. Cre shegin dhyt jannoo dy vod dty pheccaghyn v’er ny leih dhyt?,[13] Q. What must you do to have your sins forgiven you?,
"A. Goaill arrys, as credjal y Sushtal, as gymmyrkey magh mess jeh arrys.","A. Repent, and believe the Gospel, and bring forth fruits of repentance.",
SECT. VI.,SECT. VI.,
Q. CUIN hig Creest reesht veih Niau?,Q. When shall Christ come again from Heaven?,
A. Ec jerrey’n theihl.,A. At the end of the world.,
Q. Cre hon nee eh cheet?,Q. For what shall he come?,
A. Dy vriwnys ny bio as ny merriu.,A. To judge the quick and the dead.,
Q. Cre t’ou toiggal liorish ny bio as ny merriu?,Q. What do you mean by the quick and the dead?,
"A. Ny merriu, as adsyn vees er ny gheddyn bio.","A. The dead, and those that shall be found alive.",
Q. Cre t’ou toiggal liorish irree-seose-reesht y challin?,Q. What do you mean by the resurrection of the body?,
A. Dy bee kirp ny merriu er nyn droggal ass nyn oaieghyn.,A. That the bodies of the dead shall be raised out of their graves.,
Q. Cre hon vees ad er nyn droggal?,Q. For what shall the be raised?,
A. Dy ve er nyn mriwnys liorish Creest.,A. To be judged by Christ.,
Q. Cre t’ou toiggal liorish Creest briwnys ad? ,Q. What do you mean by Christ’s judging them?,
"[15] A. Dyn veysht ad kys t’ad er n’ymmyrkey adhene ’sy theihl shoh, myr shen dy vod adsyn t’er n’yannoo dy mie v’er nyn gooilleeney, as adsyn t’er n’yannoo dy olk er nyn gerraghey cordail rish nyn obbraghyn.","A. The examining how they have behaved themselves in this world; that so [14] the good may be rewarded, and the wicked punished according to their doings.",
Q. C’raad eisht hig deiney mie lurg yn irree-seosereesht [sic: seose-reesht]?,Q. Where then shall good men go after the Resurrection?,
A. Gys bea dy bragh farraghtyn.,A. Into life everlasting.,
Q. C’raad ta shen?,Q. Where is that?,
"A. Ayns Niau, gyn dy bragh arragh dy gheddyn baase, agh dy ve jeant maynrey marish Jee son dy bragh as by [sic: dy] bragh.","A. Into Heaven, never to die any more, but to be made happy with God for ever and ever.",
Q. Cre’n erree hig er drogh-yantee lurg yn irree-seose-reesht?,Q. What will become of wicked men after the Resurrection?,
"A. Bee ad er nyn dilgey ayns aile niurin, dy ve er ny horchaghey marish y drogh spyrryd son dy bragh as dy bragh.","A. They will be cast into Hell-fire, to be tormented with the Devil for ever and ever.",
SECT. VII.,SECT. VII.,
,Of the Ten Commandments.,
Q. CRE ta’n trass red ren dty ghedjaghyn as dty vimmaghyn y ghialdyn er dty hon ec dty vashtey?,Q. What is the third thing your godfathers and godmothers promised for you at our baptism?,
"A. Dy vreilin aigney casherick Yee as e annaghyn, as dy nhimmeein ayndoo ooilley laghyn my vea.","A. That I should keep God’s holy will and commandments, and walk in the same all the days of my life.",
Q. Cre wooad anney t’ayn?,Q. How many commandments are there?,
A. Jeih.,[15] A. Ten. ,
Q. Cre ta’n chied anney? ,Q. What is the first commandment?,
A. Cha bee Jee erbee elley ayds agh mish.,A. Thou shalt have none other Gods but me.,
Q. Cre ta’n anney shoh dy hirrey orrin?,Q. What does this commandment require of us?,
"A. Dy lhisagh shin graih y choyrt da Jee, aggle y ghoaill roish, as ooashley y choyrt da erskyn dagh nhee elley.","A. That we should love, fear, and honour God above all things.",
Q. Cre’n tra oddys eh ve rait dy vel Jeegyhyn [sic: Jeeghyn] elley ain marish y Chiarn?,Q. When may we be said to have other gods besides the Lord?,
